location_id,sample_depth_min,sample_depth_max,SOCc,BD
Boon1_7,0,15,1.046,1.1505324303335462
Boon1_7,15,25,0.632,1.4275526375163363
Boon1_7,25,27.5,0.371,1.5218593992492555
Boon1_7,27.5,30,0.344,1.5878620384033182
Boon1_7,30,32.5,0.288,1.5524699364221626
Boon1_7,32.5,35,0.267,1.5892833174908236
Boon1_7,35,45,0.28,1.3939657265783625
Boon1_7,45,55,0.226,1.4564188257558026
Boon1_7,55,57.5,0.195,1.5908278189860763
Boon1_8,0,15,1.041,1.057212659770003
Boon1_8,15,25,0.533,1.3747029074570518
Boon1_8,25,27.5,0.369,1.6267712251415203
Boon1_8,27.5,30,0.332,1.5915961487748043
Boon1_8,30,32.5,0.337,1.5270544112803364
Boon1_8,32.5,35,0.329,1.4872301109718213
Boon1_8,35,45,0.307,1.3918139233289488
Boon1_8,45,55,0.232,1.4485592765392328
Boon1_8,55,57.5,0.207,1.5995273106772447
Boon1_8,57.5,60,0.204,1.430586890517919
Boon1_8,60,62.5,0.346,1.5346787948821798
Boon1_8,62.5,65,0.265,1.3996876626336392
Boon1_9,0,15,0.943,1.0507734731885883
Boon1_9,15,25,0.541,1.383412448361748
Boon1_9,25,27.5,0.3,1.7188157270863567
Boon1_9,27.5,30,0.328,1.427858507744171
Boon1_9,30,32.5,0.283,1.6039001576976206
Boon1_9,32.5,35,0.261,1.5414652596924494
Boon1_9,35,45,0.253,1.433891242777765
Boon1_10,0,15,1.042,0.980270440230195
Boon1_10,15,25,0.719,1.4022435451787199
Boon1_10,25,27.5,1.019,1.4224629278093888
Boon1_10,27.5,30,0.337,1.5711371518023634
Boon1_10,30,32.5,0.336,1.4635328845466573
Boon1_10,32.5,35,0.325,1.587351980426617
Boon1_10,35,45,0.306,1.4363011526944118
Boon1_11,15,25,0.799,1.3761513306616522
Boon1_11,25,27.5,0.54,1.3734589301124225
Boon1_11,27.5,30,0.497,1.530068597824953
Boon1_11,30,32.5,0.502,1.4047067890495009
Boon1_11,32.5,35,0.459,1.433581865677906
Boon1_11,35,45,0.422,1.404921304928403
Boon1_11,45,55,0.356,1.4261067786541006
Boon1_11,55,57.5,0.323,1.3613666619843936
Boon1_11,57.5,60,0.299,1.4856607581527332
Boon1_11,60,62.5,0.321,1.3542801129046274
Boon1_11,62.5,65,0.277,1.470922905725919
Boon1_11,65,75,0.302,1.3281722865420913
Boon1_12,0,15,1.251,1.1322762106905304
Boon1_12,15,25,1.023,1.3837367318830573
Boon1_12,25,27.5,1.213,1.3350826383412635
Boon1_12,27.5,30,1.341,1.1503410145191673
Boon1_12,30,32.5,1.268,1.2148551122673308
Boon1_12,32.5,35,0.934,1.3787626309145133
Boon1_12,35,45,0.703,1.2868952442480086
Boon1_12,45,55,0.478,1.2068546275780834
Boon1_12,55,57.5,0.462,1.5225166897518525
Boon1_12,57.5,60,0.443,1.3912836971212432
Boon1_12,60,62.5,0.442,1.3631740460730353
Boon1_12,62.5,65,0.411,1.4350087893160566
Boon1_12,65,75,0.339,1.2830394432112007
Boon2_7,0,15,1.069,1.0121585901212882
Boon2_7,15,25,0.712,1.222994669423308
Boon2_7,25,27.5,0.991,1.527564562677441
Boon2_7,27.5,30,0.905,1.567199493633789
Boon2_7,30,32.5,0.751,1.352782655744174
Boon2_7,32.5,35,0.655,1.3070136635327048
Boon2_7,35,45,0.575,1.2615305276935616
Boon2_7,45,55,0.488,1.2259745789631957
Boon2_7,55,57.5,0.445,1.3010529491116674
Boon2_7,57.5,60,0.452,1.1090298697811432
Boon2_7,60,62.5,0.426,1.1490943046897901
Boon2_7,62.5,65,0.481,1.2484908858468202
Boon2_7,65,75,0.381,1.2828882218177402
Boon2_8,0,15,1.135,0.9929896580658011
Boon2_8,15,25,0.646,1.4063702800088567
Boon2_8,25,27.5,0.561,1.626418279427559
